hour,temperature,dewpoint,humidity,wind
2026-07-20 00:00:00,65.0,51.0,60.49,5.0
2026-07-20 01:00:00,60.0,51.0,72.13,4.0
2026-07-20 02:00:00,60.0,51.0,72.13,0.0
2026-07-20 03:00:00,55.0,51.0,86.35,0.0
2026-07-20 04:00:00,57.0,53.0,86.46,4.0
2026-07-20 05:00:00,54.0,51.0,89.55,3.0
2026-07-20 06:00:00,58.0,53.0,83.4,0.0
2026-07-20 07:00:00,65.0,53.0,65.12,3.0
2026-07-20 08:00:00,69.0,51.0,52.69,3.0
2026-07-20 09:00:00,72.0,52.0,49.37,3.0
2026-07-20 10:00:00,74.0,51.0,44.48,0.0
2026-07-20 11:00:00,78.0,49.0,36.16,9.0
2026-07-20 12:00:00,79.0,50.0,36.32,10.0
2026-07-20 13:00:00,80.0,50.0,35.15,6.0
2026-07-20 14:00:00,81.0,51.0,35.31,7.0
2026-07-20 15:00:00,81.0,50.0,34.02,8.0
2026-07-20 16:00:00,81.0,50.0,34.02,9.0
2026-07-20 17:00:00,80.0,51.0,36.48,7.0
2026-07-20 18:00:00,79.0,50.0,36.32,9.0
2026-07-20 19:00:00,76.0,51.0,41.61,7.0
2026-07-20 20:00:00,72.0,51.0,47.58,10.0
2026-07-20 21:00:00,70.0,54.0,56.86,9.0
2026-07-20 22:00:00,68.0,56.0,65.48,7.0
2026-07-20 23:00:00,66.0,57.0,72.74,5.0
2026-07-21 00:00:00,65.0,58.0,78.08,6.0
2026-07-21 01:00:00,65.0,59.0,80.92,6.0
2026-07-21 02:00:00,63.0,60.0,89.94,5.0
2026-07-21 03:00:00,64.0,60.0,86.84,4.0
2026-07-21 04:00:00,63.0,60.0,89.94,3.0
2026-07-21 05:00:00,61.0,59.0,93.13,3.0
2026-07-21 06:00:00,64.0,61.0,89.98,0.0
2026-07-21 07:00:00,67.0,62.0,83.99,4.0
2026-07-21 08:00:00,70.0,64.0,81.29,5.0
2026-07-21 09:00:00,72.0,65.0,78.66,8.0
2026-07-21 10:00:00,73.0,65.0,76.05,9.0
2026-07-21 11:00:00,70.0,67.0,90.22,7.0
2026-07-21 12:00:00,71.0,69.0,93.41,7.0
2026-07-21 13:00:00,74.0,70.0,87.36,10.0
2026-07-21 14:00:00,72.0,70.0,93.44,8.0
2026-07-21 15:00:00,73.0,71.0,93.47,3.0
2026-07-21 16:00:00,73.0,71.0,93.47,5.0
2026-07-21 17:00:00,74.0,71.0,90.38,3.0
2026-07-21 18:00:00,73.0,71.0,93.47,4.0
2026-07-21 19:00:00,73.0,71.0,93.47,4.0
2026-07-21 20:00:00,73.0,72.0,96.69,5.0
2026-07-21 21:00:00,73.0,71.0,93.47,5.0
2026-07-21 22:00:00,72.0,71.0,96.67,5.0
2026-07-21 23:00:00,72.0,71.0,96.67,6.0
2026-07-22 00:00:00,72.0,72.0,100.0,11.0
2026-07-22 01:00:00,72.0,71.0,96.67,6.0
2026-07-22 02:00:00,72.0,70.0,93.44,10.0
2026-07-22 03:00:00,71.0,69.0,93.41,10.0
2026-07-22 04:00:00,70.0,69.0,96.64,6.0
2026-07-22 05:00:00,70.0,69.0,96.64,6.0
2026-07-22 06:00:00,72.0,69.0,90.3,8.0
2026-07-22 07:00:00,72.0,70.0,93.44,10.0
2026-07-22 08:00:00,74.0,69.0,84.43,10.0
2026-07-22 09:00:00,79.0,69.0,71.54,9.0
2026-07-22 10:00:00,81.0,68.0,64.76,7.0
2026-07-22 11:00:00,82.0,65.0,56.51,9.0
2026-07-22 12:00:00,85.0,66.0,53.12,10.0
2026-07-22 13:00:00,85.0,67.0,54.99,10.0
2026-07-22 14:00:00,76.0,67.0,73.73,16.0
2026-07-22 15:00:00,80.0,69.0,69.23,11.0
2026-07-22 16:00:00,85.0,60.0,43.03,15.0
2026-07-22 17:00:00,82.0,63.0,52.69,8.0
2026-07-22 18:00:00,78.0,58.0,50.27,11.0
2026-07-22 19:00:00,76.0,56.0,49.97,8.0
2026-07-22 20:00:00,72.0,54.0,53.13,8.0
2026-07-22 21:00:00,69.0,55.0,61.02,10.0
2026-07-22 22:00:00,66.0,54.0,65.24,9.0
2026-07-22 23:00:00,65.0,52.0,62.76,3.0
2026-07-23 00:00:00,63.0,53.0,69.83,0.0
2026-07-23 01:00:00,62.0,54.0,75.03,0.0
2026-07-23 02:00:00,60.0,54.0,80.54,3.0
2026-07-23 03:00:00,59.0,53.0,80.47,6.0
2026-07-23 04:00:00,58.0,53.0,83.4,4.0
2026-07-23 05:00:00,56.0,53.0,89.64,4.0
2026-07-23 06:00:00,59.0,54.0,83.47,4.0
2026-07-23 07:00:00,63.0,53.0,69.83,4.0
2026-07-23 08:00:00,67.0,52.0,58.56,6.0
2026-07-23 09:00:00,70.0,49.0,47.27,6.0
2026-07-23 10:00:00,73.0,49.0,42.7,6.0
2026-07-23 11:00:00,74.0,50.0,42.86,4.0
2026-07-23 12:00:00,77.0,45.0,32.14,6.0
2026-07-23 13:00:00,78.0,45.0,31.1,11.0
2026-07-23 14:00:00,80.0,47.0,31.41,10.0
2026-07-23 15:00:00,79.0,46.0,31.26,5.0
2026-07-23 16:00:00,79.0,47.0,32.46,9.0
2026-07-23 17:00:00,78.0,48.0,34.83,6.0
2026-07-23 18:00:00,76.0,48.0,37.21,5.0
2026-07-23 19:00:00,73.0,53.0,49.52,4.0
2026-07-23 20:00:00,68.0,55.0,63.15,0.0
2026-07-23 21:00:00,65.0,56.0,72.64,5.0
2026-07-23 22:00:00,63.0,56.0,77.91,0.0
2026-07-23 23:00:00,63.0,55.0,75.13,0.0
2026-07-24 00:00:00,60.0,55.0,83.54,4.0
2026-07-24 01:00:00,56.0,54.0,92.98,0.0
2026-07-24 02:00:00,58.0,54.0,86.51,0.0
2026-07-24 03:00:00,55.0,53.0,92.95,0.0
2026-07-24 04:00:00,54.0,53.0,96.4,3.0
2026-07-24 05:00:00,53.0,52.0,96.39,0.0
2026-07-24 06:00:00,58.0,54.0,86.51,0.0
2026-07-24 07:00:00,61.0,55.0,80.62,3.0
2026-07-24 08:00:00,66.0,56.0,70.16,3.0
2026-07-24 09:00:00,70.0,56.0,61.15,0.0
2026-07-24 10:00:00,75.0,53.0,46.31,0.0
2026-07-24 11:00:00,78.0,50.0,37.53,4.0
2026-07-24 12:00:00,80.0,51.0,36.48,4.0
2026-07-24 13:00:00,81.0,51.0,35.31,6.0
2026-07-24 14:00:00,81.0,50.0,34.02,0.0
2026-07-24 15:00:00,82.0,51.0,34.18,4.0
2026-07-24 16:00:00,82.0,50.0,32.94,5.0
2026-07-24 17:00:00,82.0,51.0,34.18,6.0
2026-07-24 18:00:00,79.0,55.0,43.65,11.0
2026-07-24 19:00:00,75.0,54.0,48.04,9.0
2026-07-24 20:00:00,71.0,53.0,52.98,6.0
2026-07-24 21:00:00,69.0,53.0,56.72,5.0
2026-07-24 22:00:00,66.0,55.0,67.66,5.0
2026-07-24 23:00:00,65.0,55.0,70.05,4.0
2026-07-25 00:00:00,64.0,55.0,72.54,4.0
2026-07-25 01:00:00,59.0,55.0,86.57,0.0
2026-07-25 02:00:00,58.0,55.0,89.73,0.0
2026-07-25 03:00:00,56.0,54.0,92.98,0.0
2026-07-25 04:00:00,55.0,53.0,92.95,0.0
2026-07-25 05:00:00,53.0,52.0,96.39,3.0
2026-07-25 06:00:00,59.0,55.0,86.57,3.0
2026-07-25 07:00:00,63.0,56.0,77.91,0.0
2026-07-25 08:00:00,67.0,57.0,70.27,0.0
2026-07-25 09:00:00,73.0,54.0,51.37,3.0
2026-07-25 10:00:00,76.0,51.0,41.61,3.0
2026-07-25 11:00:00,77.0,50.0,38.79,3.0
2026-07-25 12:00:00,78.0,51.0,38.95,3.0
2026-07-25 13:00:00,82.0,54.0,38.17,7.0
2026-07-25 14:00:00,81.0,53.0,38.01,3.0
2026-07-25 15:00:00,81.0,54.0,39.43,7.0
2026-07-25 16:00:00,80.0,53.0,39.27,7.0
2026-07-25 17:00:00,81.0,54.0,39.43,7.0
2026-07-25 18:00:00,79.0,53.0,40.57,8.0
2026-07-25 19:00:00,76.0,54.0,46.47,6.0
2026-07-25 20:00:00,72.0,56.0,57.14,7.0
2026-07-25 21:00:00,69.0,56.0,63.27,7.0
2026-07-25 22:00:00,67.0,56.0,67.78,5.0
